x,y,z,theta0,theta1,theta2,theta0_pred,theta1_pred,theta2_pred,time_pred
0.0433453529628883,0.0830849265503616,-0.0111651162092991,1.0899403083882957,0.5770272220879211,3.013364382014699,-0.0,1.96,1.97,2.015497698059082
-0.0879695675559735,0.035614930764425,0.031510821802362,2.756907838864512,3.141592653589793,2.821021974652059,-0.0,1.96,1.97,2.02052165435791
0.0298851464002146,-0.0143919279856905,-0.1289679627895187,2.692793703076965,1.9875382094139509,0.7693696294505615,-0.0,1.96,1.97,2.012462629547119
0.0712198902522167,0.0401102949278679,0.0261798811485928,0.5129130863003744,2.692793703076965,2.821021974652059,-0.0,1.96,1.97,2.0185251371765136
0.0117968718937607,-0.0169117029667185,-0.0316302092524596,2.179880616776591,1.9875382094139509,1.7951958020513104,-0.0,1.96,1.97,2.026076091995239
0.0740156050865624,0.0245748740242384,0.0457069766606416,0.3205706789377339,2.9492502462271526,2.6286795672894185,-0.0,1.96,1.97,2.0178272859954833
0.056859691488415,0.1089893833610251,-0.1418282785088171,1.0899403083882957,0.6411413578754679,1.538739258901123,-0.0,1.96,1.97,2.0225362913513183
-0.1006273312771798,0.0751001291340988,-0.1982560896363648,2.500451295714325,1.4105109873260295,0.0641141357875468,-0.0,1.96,1.97,2.020124925842285
-0.0097793771453688,0.1013734742905467,-0.0191158628701372,1.6669675304762166,0.0,2.9492502462271526,-0.0,1.96,1.97,2.0119567053222656
-0.0058360538652291,0.0032868043031276,-0.1433369955318246,2.6286795672894185,1.6028533946886698,1.0899403083882957,-0.0,1.96,1.97,2.0115273134613036
0.0486364859214902,0.0316588439658532,-0.0948049416281462,0.5770272220879211,0.961712036813202,2.0516523452014974,-0.0,1.96,1.97,2.024479402770996
0.0281808357717013,-0.0464872361965982,-0.1230995549079253,2.1157664809890444,2.3081088883516845,0.3205706789377339,-0.0,1.96,1.97,2.023561729660034
-0.0394859788872899,0.1330413653492839,-0.1698945850111976,1.859309937838857,0.8334837652381083,1.0258261726007487,-0.0,1.96,1.97,2.0172758238220214
0.0127998467642379,0.0108966684200918,-0.0246903786339134,0.7052554936630148,1.7310816662637634,2.243994752564138,-0.0,1.96,1.97,2.0230553285980224
-0.0505079899789393,0.0724070017596432,-0.005186911567676,2.179880616776591,1.218168579963389,3.013364382014699,-0.0,1.96,1.97,2.014770044555664
0.0022751447950292,-0.0002933474372141,-0.0620112108069824,3.013364382014699,1.6669675304762166,1.859309937838857,-0.0,1.96,1.97,2.0262253420257568
-0.1197788269039228,0.2705824563978056,-0.0381531745594013,1.9875382094139509,0.1282282715750936,0.1282282715750936,-0.0,1.96,1.97,2.013857378234863
-0.042145163721028,0.0807843884721075,-0.0920801906089923,2.0516523452014974,0.5770272220879211,2.179880616776591,-0.0,1.96,1.97,2.018866791000366
0.0033872587112899,0.0092042761627549,-0.0931308892968485,1.218168579963389,1.4746251231135763,1.7310816662637634,-0.0,1.96,1.97,2.015830768814087
-0.0253696759572227,-0.0363693382461302,0.0329454702593017,0.961712036813202,2.6286795672894185,1.4746251231135763,-0.0,1.96,1.97,2.014995350112915
-0.0791625201755999,0.0262837675714657,0.0344455946581708,2.821021974652059,2.8851361104396056,2.756907838864512,-0.0,1.96,1.97,2.0133161680603027
0.0972303010636322,0.0322826841337455,-0.0381531745594013,0.3205706789377339,0.1282282715750936,2.756907838864512,-0.0,1.96,1.97,2.0179326670074462
0.0580228902102825,-0.0727584030002519,-0.0123949589322248,2.243994752564138,2.821021974652059,0.5129130863003744,-0.0,1.96,1.97,2.02276135848999
-0.0205801189420286,-0.0901673925049434,0.031119678489866,1.3463968515384828,3.077478517802246,0.4487989505128276,-0.0,1.96,1.97,2.0199566023254394
-0.0998734684637402,0.1252373682383371,-0.1635410178722238,2.243994752564138,0.7052554936630148,1.0258261726007487,-0.0,1.96,1.97,2.010817302932739
0.0515495725150657,-0.0066465813603675,-0.009757202011227,3.013364382014699,2.3722230241392315,1.4105109873260295,-0.0,1.96,1.97,2.013788952102661
0.0032658269968929,9.099717619792076e-18,-0.1486096664953136,0.0,1.6669675304762166,0.961712036813202,-0.0,1.96,1.97,2.0239691870117187
